train/step,train/mean_reward,train/loss,train/reward_variance,epoch/epoch,task_reward/task_07,task_reward/task_08,task_reward/task_06,task_reward/task_11,task_reward/task_10,task_reward/task_12,task_reward/task_05,task_reward/task_04,task_reward/task_14,task_reward/task_13,task_reward/task_02,task_reward/task_01,task_reward/task_09,task_reward/task_03,epoch/mean_reward,epoch/signal_tasks,epoch/nonzero_rewards_pct
0,0.0,0.0,0.0,1,0.0,,,,,,,,,,,,,,0.057825892857142853,7.0,0.5
1,0.03125,0.010124,0.014648,1,0.0,0.03125,,,,,,,,,,,,,0.057825892857142853,7.0,0.5
2,0.04375,-0.016569,0.013711,1,0.0,0.03125,0.04375,,,,,,,,,,,,0.057825892857142853,7.0,0.5
2,0.0,0.0,0.0,1,0.0,0.03125,0.04375,0.0,,,,,,,,,,,0.057825892857142853,7.0,0.5
3,0.0625,-0.015527,0.027344,1,0.0,0.03125,0.04375,0.0,0.0625,,,,,,,,,,0.057825892857142853,7.0,0.5
3,0.0,0.0,0.0,1,0.0,0.03125,0.04375,0.0,0.0625,0.0,,,,,,,,,0.057825892857142853,7.0,0.5
3,0.0,0.0,0.0,1,0.0,0.03125,0.04375,0.0,0.0625,0.0,0.0,,,,,,,,0.057825892857142853,7.0,0.5
3,0.0,0.0,0.0,1,0.0,0.03125,0.04375,0.0,0.0625,0.0,0.0,0.0,,,,,,,0.057825892857142853,7.0,0.5
4,0.125,-0.033321,0.039375,1,0.0,0.03125,0.04375,0.0,0.0625,0.0,0.0,0.0,0.125,,,,,,0.057825892857142853,7.0,0.5
5,0.25,-0.05409,0.1375,1,0.0,0.03125,0.04375,0.0,0.0625,0.0,0.0,0.0,0.125,0.25,,,,,0.057825892857142853,7.0,0.5
5,0.0,0.0,0.0,1,0.0,0.03125,0.04375,0.0,0.0625,0.0,0.0,0.0,0.125,0.25,0.0,,,,0.057825892857142853,7.0,0.5
6,0.203125,-0.070871,0.009521,1,0.0,0.03125,0.04375,0.0,0.0625,0.0,0.0,0.0,0.125,0.25,0.0,0.203125,,,0.057825892857142853,7.0,0.5
6,0.0,0.0,0.0,1,0.0,0.03125,0.04375,0.0,0.0625,0.0,0.0,0.0,0.125,0.25,0.0,0.203125,0.0,,0.057825892857142853,7.0,0.5
7,0.0939375,-0.016235,0.006863,1,0.0,0.03125,0.04375,0.0,0.0625,0.0,0.0,0.0,0.125,0.25,0.0,0.203125,0.0,0.0939375,0.057825892857142853,7.0,0.5
8,0.011375,-0.020845,0.000906,2,0.0,0.03125,0.04375,0.0,0.0625,0.0,0.0,0.011375,0.125,0.25,0.0,0.203125,0.0,0.0939375,0.1563348214285714,5.0,0.5
9,0.4375,-0.010977,0.156094,2,0.0,0.03125,0.04375,0.0,0.0625,0.0,0.0,0.011375,0.125,0.4375,0.0,0.203125,0.0,0.0939375,0.1563348214285714,5.0,0.5
9,0.0,0.0,0.0,2,0.0,0.03125,0.04375,0.0,0.0625,0.0,0.0,0.011375,0.125,0.4375,0.0,0.203125,0.0,0.0939375,0.1563348214285714,5.0,0.5
9,0.6,0.0,0.0,2,0.0,0.03125,0.04375,0.0,0.0625,0.0,0.0,0.011375,0.6,0.4375,0.0,0.203125,0.0,0.0939375,0.1563348214285714,5.0,0.5
10,0.40625,-0.037137,0.038086,2,0.0,0.03125,0.04375,0.0,0.40625,0.0,0.0,0.011375,0.6,0.4375,0.0,0.203125,0.0,0.0939375,0.1563348214285714,5.0,0.5
10,0.0,0.0,0.0,2,0.0,0.03125,0.04375,0.0,0.40625,0.0,0.0,0.011375,0.6,0.4375,0.0,0.203125,0.0,0.0939375,0.1563348214285714,5.0,0.5
11,0.11481249999999998,0.016708,0.005992,2,0.0,0.03125,0.04375,0.0,0.40625,0.0,0.0,0.011375,0.6,0.4375,0.0,0.203125,0.0,0.11481249999999998,0.1563348214285714,5.0,0.5
11,0.0,0.0,0.0,2,0.0,0.03125,0.04375,0.0,0.40625,0.0,0.0,0.011375,0.6,0.4375,0.0,0.203125,0.0,0.11481249999999998,0.1563348214285714,5.0,0.5
11,0.0,0.0,0.0,2,0.0,0.0,0.04375,0.0,0.40625,0.0,0.0,0.011375,0.6,0.4375,0.0,0.203125,0.0,0.11481249999999998,0.1563348214285714,5.0,0.5
11,0.4,0.0,0.0,2,0.0,0.0,0.4,0.0,0.40625,0.0,0.0,0.011375,0.6,0.4375,0.0,0.203125,0.0,0.11481249999999998,0.1563348214285714,5.0,0.5
11,0.0,0.0,0.0,2,0.0,0.0,0.4,0.0,0.40625,0.0,0.0,0.011375,0.6,0.4375,0.0,0.203125,0.0,0.11481249999999998,0.1563348214285714,5.0,0.5
12,0.21875,0.060139,0.006836,2,0.0,0.0,0.4,0.0,0.40625,0.0,0.0,0.011375,0.6,0.4375,0.0,0.21875,0.0,0.11481249999999998,0.1563348214285714,5.0,0.5
12,0.0,0.0,0.0,2,0.0,0.0,0.4,0.0,0.40625,0.0,0.0,0.011375,0.6,0.4375,0.0,0.21875,0.0,0.11481249999999998,0.1563348214285714,5.0,0.5
12,0.0,0.0,0.0,2,0.0,0.0,0.4,0.0,0.40625,0.0,0.0,0.011375,0.6,0.4375,0.0,0.21875,0.0,0.11481249999999998,0.1563348214285714,5.0,0.5
12,0.0,0.0,0.0,3,0.0,0.0,0.4,0.0,0.40625,0.0,0.0,0.011375,0.6,0.4375,0.0,0.21875,0.0,0.11481249999999998,0.18135267857142856,7.0,0.5714285714285714
12,0.0,0.0,0.0,3,0.0,0.0,0.4,0.0,0.40625,0.0,0.0,0.011375,0.6,0.4375,0.0,0.21875,0.0,0.11481249999999998,0.18135267857142856,7.0,0.5714285714285714
13,0.5625,-0.038516,0.021094,3,0.0,0.0,0.4,0.0,0.40625,0.0,0.0,0.011375,0.5625,0.4375,0.0,0.21875,0.0,0.11481249999999998,0.18135267857142856,7.0,0.5714285714285714
13,0.0,0.0,0.0,3,0.0,0.0,0.4,0.0,0.40625,0.0,0.0,0.011375,0.5625,0.4375,0.0,0.21875,0.0,0.11481249999999998,0.18135267857142856,7.0,0.5714285714285714
14,0.21875,0.059146,0.006836,3,0.0,0.0,0.4,0.0,0.40625,0.0,0.0,0.011375,0.5625,0.4375,0.0,0.21875,0.0,0.11481249999999998,0.18135267857142856,7.0,0.5714285714285714
15,0.12524999999999997,0.00287,0.005229,3,0.0,0.0,0.4,0.0,0.40625,0.0,0.0,0.011375,0.5625,0.4375,0.0,0.21875,0.0,0.12524999999999997,0.18135267857142856,7.0,0.5714285714285714
16,0.775,-0.198029,0.044375,3,0.0,0.0,0.4,0.0,0.40625,0.0,0.0,0.011375,0.5625,0.775,0.0,0.21875,0.0,0.12524999999999997,0.18135267857142856,7.0,0.5714285714285714
17,0.0511875,-0.098031,0.002038,3,0.0,0.0,0.4,0.0,0.40625,0.0,0.0,0.0511875,0.5625,0.775,0.0,0.21875,0.0,0.12524999999999997,0.18135267857142856,7.0,0.5714285714285714
17,0.0,0.0,0.0,3,0.0,0.0,0.4,0.0,0.40625,0.0,0.0,0.0511875,0.5625,0.775,0.0,0.21875,0.0,0.12524999999999997,0.18135267857142856,7.0,0.5714285714285714
18,0.375,-0.074616,0.046875,3,0.0,0.0,0.4,0.0,0.375,0.0,0.0,0.0511875,0.5625,0.775,0.0,0.21875,0.0,0.12524999999999997,0.18135267857142856,7.0,0.5714285714285714
18,0.4,0.0,0.0,3,0.0,0.0,0.4,0.0,0.375,0.0,0.0,0.0511875,0.5625,0.775,0.0,0.21875,0.0,0.12524999999999997,0.18135267857142856,7.0,0.5714285714285714
18,0.0,0.0,0.0,3,0.0,0.0,0.4,0.0,0.375,0.0,0.0,0.0511875,0.5625,0.775,0.0,0.21875,0.0,0.12524999999999997,0.18135267857142856,7.0,0.5714285714285714
